,sigma,n_train,n_test,Regressor,Method,k,n_rep,EC,EC_vec_sd,EC_scalar_sd,MAE,MAE_sd,MSqE,MSqE_sd,R2,R2_sd
37,37.90912743180429,645,155,LinReg,ratio,5,25,0.9321585632102971,0.08277909497252835,0.03049795040710304,9.205520478180393,0.012242509844184993,115.69846860194518,0.48205905186900366,0.9659511090627644,0.00014186511092782725
38,39.25804496251353,817,112,LinReg,ratio,5,25,0.9389938680307389,0.09216830120050314,0.02453811823792691,9.660512783823934,0.04024813438527391,127.27235005754922,1.1239527308223412,0.9608516338567406,0.00034572248421635643
39,39.6853226855123,358,172,LinReg,ratio,5,25,0.9221188188117386,0.09859441026014114,0.03506228136162382,9.973497326211548,0.05123595337594595,134.11099567476725,1.3263234748713582,0.95516575948699,0.000443399181187507
40,40.313304102105285,641,146,LinReg,ratio,5,25,0.9429352447534942,0.07033541157080822,0.025493341590462994,10.55762158447791,0.016624983643204947,141.17170742593632,0.7715626148594383,0.9532529130062245,0.0002554924448788814
41,42.30926993135924,451,117,LinReg,ratio,5,25,0.9145325545191757,0.10620533635613319,0.03757961582718656,9.696355235276899,0.006386578116724889,129.30371475343324,0.2907229496746161,0.9629839968955838,8.322577296562017e-05
42,43.14460401062911,867,127,LinReg,ratio,5,25,0.924220950421142,0.12046417952518228,0.028749339453801353,10.6938144593446,0.015623655396270983,155.42999225655046,0.4854906522748015,0.9562376278912698,0.00013669319718611286
43,43.66704418011115,206,168,LinReg,ratio,5,25,0.892220514515135,0.12018416743202569,0.04533683921610113,11.032925866954553,0.04886144388833186,163.8711892819585,1.1642997961420127,0.9530575716831877,0.00033352451983268094
44,45.089586581844934,335,171,LinReg,ratio,5,25,0.8994904347310555,0.12040214146964998,0.03969970714554441,11.700240476744971,0.03913883980053721,183.70605028977621,0.9984577351218152,0.9468862838001856,0.0002886774861095615
45,46.26512604940971,832,120,LinReg,ratio,5,25,0.93387025039852,0.10285553097759548,0.02734635118480236,12.024855721567906,0.017063399371246523,192.70679178518031,0.42543958100967655,0.946298869564944,0.0001185562076997536
46,46.81682697951204,110,181,LinReg,ratio,5,25,0.8466366977166386,0.14774218003089984,0.05682785457792919,11.891743056094569,0.03299427183052825,190.92652367191036,1.6714315701619746,0.9534245119682236,0.00040773664965370297
47,47.7519784987462,979,193,LinReg,ratio,5,25,0.9338008224640115,0.09721779455885357,0.029158918444459125,12.086152484706929,0.035650756499540776,195.46353718993467,1.0232790689360867,0.9392008944216498,0.0003182918565927019
48,48.14335104387828,361,164,LinReg,ratio,5,25,0.9041161543388226,0.12902352816917023,0.036846765649181844,11.802219896256235,0.021804450533142415,193.82277465270042,1.311749665780797,0.9388992615045695,0.00041351628282050584
49,48.59238921905268,553,144,LinReg,ratio,5,25,0.9310250888368018,0.10977971660378082,0.027056599041470144,12.477411095688284,0.014024387963388736,203.2148265798417,0.48402400876397605,0.9357894951729161,0.00015293877161543147
50,49.91599167958759,790,146,LinReg,ratio,5,25,0.9311924229582298,0.09619885675663703,0.029427843381516036,12.0941873144503,0.041626085203759614,201.2625791934689,1.061808001047095,0.9490011966780548,0.0002690561634858835
51,51.241605706179136,299,148,LinReg,ratio,5,25,0.916877158508724,0.11039451012342609,0.03428394122698454,13.845854665040452,0.03318562762003618,241.767898326883,1.4466449914796247,0.933485865280227,0.0003979946904483709
52,53.76073697684279,397,143,LinReg,ratio,5,25,0.9113141974561925,0.10736270302189573,0.03946640526324763,13.349523906267597,0.021632122792089016,241.939417230849,1.8373301221383236,0.9309407159082722,0.0005244482454629174
53,54.41283097324471,368,158,LinReg,ratio,5,25,0.9100799641804832,0.11326739902194101,0.03842430678286095,13.907091875536752,0.010865508681257303,260.09622336051103,0.8208963009163511,0.9264996206590743,0.0002319764152564623
54,55.27748563503917,605,102,LinReg,ratio,5,25,0.9102596653815886,0.13780631052670927,0.03178508135947958,13.852326391548944,0.05738532790166996,265.4128560560506,1.7652280008738335,0.9055404453214307,0.0006282387874740692
55,55.660233881661405,572,162,LinReg,ratio,5,25,0.9101777148072321,0.13160519423659212,0.032886657296307416,14.150226350106559,0.026688181747371434,273.43334651225234,1.4961728874939302,0.9181245747902549,0.00044800604210638243
56,56.218486180933304,543,139,LinReg,ratio,5,25,0.9193212965861072,0.10568904455533742,0.03232654407136684,13.602235375656333,0.0377235430189468,253.53007412144376,2.134737679324764,0.9335751648746834,0.0005593008990208503
57,56.417586188996616,614,105,LinReg,ratio,5,25,0.9348754923776018,0.10840743443773546,0.025712702417682986,15.016535700985578,0.03415099624471828,280.9827063559396,1.3962011159314622,0.9095477006827577,0.00044945684694673387
58,56.5065414441889,405,114,LinReg,ratio,5,25,0.8999328401736959,0.12628408331224816,0.038672158560573065,13.328003142750061,0.024258072742424256,245.86308842768184,1.0884984721468025,0.9261718445802383,0.00032685603556739364
59,58.59089562849663,433,154,LinReg,ratio,5,25,0.9109321071398117,0.11763984919490876,0.03596883362717744,14.299631159123694,0.012161480428275523,275.9930168315883,1.073974367384202,0.9229120786204346,0.00029997299405260365
60,58.727438066651196,547,147,LinReg,ratio,5,25,0.911159863287801,0.11968179581336293,0.035911215925829416,14.457357609496466,0.0749327820351944,290.59845789140167,3.2184327962244255,0.928157171522055,0.0007956728918133228
